StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_6_TEXT,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,SC0,participant,condition,PID,Cond
4/9/2024 11:04,4/9/2024 11:08,0,129.79.194.64,100,252,1,4/9/2024 11:08,R_28oOtB1ovRDrJNT,,,,,39.1397,-86.5141,anonymous,EN,6,"this may sound dumb but my generation has grown up on a game called minecraft. Not all the types of rocks were in it but andesite, diorite, basalt and obisidian are. This made those much easier. besides that I looked at the patterns on the rock and looked at numerous factors. One would be it seemed like gravely or stones mixed together or naturally forming. Also how smooth or shiny or honeycomb the surface was. Based on this I used patterns to identify the types.",5,2,5,5,5,2,3,4,5,40,13,SCN,13,SCN
4/9/2024 11:43,4/9/2024 11:44,0,129.79.195.176,100,66,1,4/9/2024 11:44,R_3EF74cKG9YgY7i4,,,,,39.1397,-86.5141,anonymous,EN,4,,5,1,5,3,5,3,5,4,4,35,15,SCN,15,SCN
4/9/2024 13:15,4/9/2024 13:16,0,129.79.194.64,100,67,1,4/9/2024 13:16,R_11RB4ivgCxpP2A2,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,5,2,4,4,5,3,2,4,5,38,17,SCN,17,SCN
4/9/2024 14:29,4/9/2024 14:30,0,129.79.194.64,100,73,1,4/9/2024 14:30,R_3nBqxJEB5rLc1P6,,,,,39.1397,-86.5141,anonymous,EN,"4,1,2",,4,1,2,3,4,3,3,4,5,33,21,SCN,21,SCN
4/10/2024 14:10,4/10/2024 14:11,0,129.79.194.64,100,80,1,4/10/2024 14:11,R_48Mckj9adNPn7s5,,,,,39.1397,-86.5141,anonymous,EN,"4,5,2",,4,2,3,4,4,3,3,2,5,32,25,SCN,25,SCN
4/11/2024 12:14,4/11/2024 12:15,0,129.79.195.9,100,64,1,4/11/2024 12:15,R_1Sy4NTSm1sYAw6J,,,,,39.1397,-86.5141,anonymous,EN,4,,4,2,3,2,2,3,3,2,4,27,29,SCN,29,SCN
4/11/2024 13:10,4/11/2024 13:11,0,129.79.195.9,100,59,1,4/11/2024 13:11,R_6CCndVnss2GMeWM,,,,,39.1397,-86.5141,anonymous,EN,2,,4,3,2,4,4,4,4,3,4,28,33,SCN,33,SCN
4/11/2024 15:08,4/11/2024 15:11,0,129.79.194.64,100,154,1,4/11/2024 15:11,R_1wvEsfKk01ua6xg,,,,,39.1397,-86.5141,anonymous,EN,"4,6",in the beginning it was more randomized but as I kept getting the same two or three categories mixed up I stuck to those,2,3,3,3,4,5,4,2,3,23,37,SCN,37,SCN
4/11/2024 15:56,4/11/2024 15:57,0,129.79.194.64,100,89,1,4/11/2024 15:57,R_1XoBqFztQrxItz2,,,,,39.1397,-86.5141,anonymous,EN,"4,5,1",,5,2,2,4,4,2,3,4,5,35,41,SCN,41,SCN
4/12/2024 11:08,4/12/2024 11:08,0,129.79.192.110,100,26,1,4/12/2024 11:08,R_1gSZsxNhQYgPABs,,,,,39.1397,-86.5141,anonymous,EN,"3,1",,2,1,2,2,2,3,2,1,3,24,45,SCN,45,SCN
4/12/2024 11:20,4/12/2024 11:21,0,129.79.195.206,100,56,1,4/12/2024 11:21,R_21IYd18FLEdrNDj,,,,,39.1397,-86.5141,anonymous,EN,"3,5,1,2",,4,2,2,5,2,3,3,3,5,31,49,SCN,49,SCN
4/12/2024 12:31,4/12/2024 12:32,0,129.79.192.110,100,83,1,4/12/2024 12:32,R_1KpSN4OWSMbR8ny,,,,,39.1397,-86.5141,anonymous,EN,"5,2",,4,1,4,3,4,3,3,3,4,33,53,SCN,53,SCN
4/12/2024 13:24,4/12/2024 13:25,0,129.79.195.176,100,56,1,4/12/2024 13:25,R_5g0DwePU8elr86R,,,,,39.1397,-86.5141,anonymous,EN,"3,4",,3,2,2,5,4,3,2,4,5,34,57,SCN,57,SCN
4/16/2024 10:30,4/16/2024 10:31,0,129.79.194.64,100,67,1,4/16/2024 10:31,R_1mCMuwqUT9Hx3rj,,,,,39.1397,-86.5141,anonymous,EN,"5,1",,4,3,3,2,4,4,3,3,4,28,65,SCN,65,SCN
4/16/2024 10:38,4/16/2024 10:39,0,129.79.193.37,100,107,1,4/16/2024 10:39,R_7HKiS3OQTIzO32p,,,,,39.1397,-86.5141,anonymous,EN,"4,2",,2,3,2,3,2,4,4,1,3,20,61,SCN,61,SCN
4/16/2024 11:16,4/16/2024 11:18,0,129.79.195.9,100,118,1,4/16/2024 11:18,R_52QSNXliyZ3gdib,,,,,39.1397,-86.5141,anonymous,EN,"4,1,2",,2,4,2,3,2,3,4,1,5,22,69,SCN,69,SCN
4/16/2024 11:19,4/16/2024 11:20,0,129.79.195.65,100,44,1,4/16/2024 11:20,R_1rfauOjY9AEjsyJ,,,,,39.1397,-86.5141,anonymous,EN,"3,5,1",,5,1,5,5,5,3,3,5,5,41,73,SCN,73,SCN
4/16/2024 12:31,4/16/2024 12:32,0,129.79.195.176,100,57,1,4/16/2024 12:32,R_1RwCXQDOCRfNyQp,,,,,39.1397,-86.5141,anonymous,EN,"5,1",,5,2,5,5,5,3,1,5,5,42,77,SCN,77,SCN
4/16/2024 13:12,4/16/2024 13:14,0,129.79.195.176,100,90,1,4/16/2024 13:14,R_7ZOj6lz4fjFxYzL,,,,,39.1397,-86.5141,anonymous,EN,"4,5,1",,2,3,3,4,3,4,4,2,4,25,80,SCN,80,SCN
4/16/2024 13:38,4/16/2024 13:40,0,129.79.195.206,100,92,1,4/16/2024 13:40,R_7abHFnyhTB3Q5w6,,,,,39.1397,-86.5141,anonymous,EN,"4,1,2",,2,2,2,5,3,4,4,2,4,26,,SCN,,SCN
4/16/2024 13:42,4/16/2024 13:43,0,129.79.192.110,100,80,1,4/16/2024 13:43,R_1hhZANBrKaWigmt,,,,,39.1397,-86.5141,anonymous,EN,"4,2",,3,3,2,3,3,3,3,4,4,28,84,SCN,84,SCN
4/16/2024 14:57,4/16/2024 14:58,0,129.79.195.206,100,72,1,4/16/2024 14:58,R_1sCDgZPOCYfW4dH,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,3,3,2,2,3,4,4,4,3,24,88,SCN,88,SCN
4/17/2024 12:04,4/17/2024 12:04,0,129.79.195.65,100,28,1,4/17/2024 12:04,R_3Du3RdwnaQLQCxE,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,3,3,3,3,3,3,3,3,3,27,92,SCN,92,SCN
4/17/2024 12:26,4/17/2024 12:28,0,129.79.195.176,100,95,1,4/17/2024 12:28,R_1o8OYg48UHo8SnT,,,,,39.1397,-86.5141,anonymous,EN,"3,5",,3,3,2,4,4,3,4,4,4,29,96,SCN,96,SCN
4/18/2024 12:16,4/18/2024 12:18,0,129.79.195.65,100,94,1,4/18/2024 12:18,R_3SoVEfnpbuKjxIe,,,,,39.1397,-86.5141,anonymous,EN,"3,4",,4,3,4,3,4,3,3,4,5,33,100,SCN,100,SCN
4/18/2024 12:31,4/18/2024 12:32,0,129.79.195.176,100,53,1,4/18/2024 12:32,R_1S9ovsUCFBpZFDM,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,4,3,2,4,4,4,4,3,5,29,104,SCN,104,SCN
4/18/2024 13:20,4/18/2024 13:22,0,129.79.195.9,100,88,1,4/18/2024 13:22,R_2QQXKaFKqDaPbKy,,,,,39.1397,-86.5141,anonymous,EN,"4,5,1",,5,2,4,5,5,3,3,4,5,38,108,SCN,108,SCN
4/18/2024 15:03,4/18/2024 15:04,0,129.79.195.9,100,24,1,4/18/2024 15:04,R_7g1kEV3mPUduhlg,,,,,39.1397,-86.5141,anonymous,EN,3,,3,3,3,3,3,3,3,3,3,27,112,SCN,112,SCN
4/18/2024 15:27,4/18/2024 15:29,0,129.79.192.110,100,102,1,4/18/2024 15:29,R_22X9WExlnYoGkdE,,,,,39.1397,-86.5141,anonymous,EN,"4,1",,3,2,1,3,4,1,3,3,5,31,116,SCN,116,SCN
4/5/2024 11:02,4/5/2024 11:03,0,129.79.195.65,100,69,1,4/5/2024 11:03,R_3LbPFaNPHHl7yWa,,,,,39.1397,-86.5141,anonymous,EN,"5,1",,4,2,4,4,4,3,4,4,4,33,2,SCR,2,SCR
4/5/2024 12:04,4/5/2024 12:05,0,129.79.195.65,100,61,1,4/5/2024 12:05,R_7Pzsnp7kMx0IG9H,,,,,39.1397,-86.5141,anonymous,EN,"4,5,1",,4,3,2,4,4,3,4,3,4,29,6,SCR,6,SCR
4/9/2024 10:23,4/9/2024 10:24,0,129.79.195.9,100,61,1,4/9/2024 10:24,R_7GuHYLArZtI2udj,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,5,2,3,5,5,3,2,5,4,38,10,SCR,10,SCR
4/9/2024 11:51,4/9/2024 11:52,0,129.79.192.219,100,71,1,4/9/2024 11:52,R_2CIVgqxyXMWnFZ0,,,,,39.1397,-86.5141,anonymous,EN,4,,2,2,3,4,3,3,2,3,4,30,14,SCR,14,SCR
4/9/2024 13:16,4/9/2024 13:18,0,129.79.195.9,100,86,1,4/9/2024 13:18,R_5vdASkHyFHcMpQf,,,,,39.1397,-86.5141,anonymous,EN,"4,5,6",also chose suggested rock,3,3,2,4,1,3,4,3,3,24,18,SCR,18,SCR
4/9/2024 15:18,4/9/2024 15:20,0,129.79.194.64,100,118,1,4/9/2024 15:20,R_7kBSKc7P30r7pmm,,,,,39.1397,-86.5141,anonymous,EN,6,I just chose the rock that had the square about it.,3,1,2,4,3,2,3,3,5,32,22,SCR,22,SCR
4/10/2024 14:19,4/10/2024 14:20,0,129.79.195.206,100,53,1,4/10/2024 14:20,R_2i5WfW0vsi66BLr,,,,,39.1397,-86.5141,anonymous,EN,"3,5",,3,3,1,4,4,4,3,1,4,25,26,SCR,26,SCR
4/11/2024 12:17,4/11/2024 12:17,0,129.79.194.64,100,19,1,4/11/2024 12:17,R_11Y6RPyzHxfjsko,,,,,39.1397,-86.5141,anonymous,EN,5,,3,3,3,3,3,3,3,3,3,27,30,SCR,30,SCR
4/11/2024 13:26,4/11/2024 13:27,0,129.79.194.64,100,71,1,4/11/2024 13:27,R_2oz5sWrFu6IMU1W,,,,,39.1397,-86.5141,anonymous,EN,5,,4,2,2,3,4,2,4,2,4,29,34,SCR,34,SCR
4/11/2024 15:48,4/11/2024 15:49,0,129.79.195.65,100,87,1,4/11/2024 15:49,R_1uJrUPolqIPptyM,,,,,39.1397,-86.5141,anonymous,EN,1,,3,2,3,4,5,3,4,5,5,34,38,SCR,38,SCR
4/12/2024 10:50,4/12/2024 10:52,0,129.79.195.65,100,108,1,4/12/2024 10:52,R_732dNAdTyGhcIcr,,,,,39.1397,-86.5141,anonymous,EN,"3,4,5,1,2",,3,3,2,2,2,3,3,3,2,23,42,SCR,42,SCR
4/12/2024 11:23,4/12/2024 11:24,0,129.79.195.176,100,75,1,4/12/2024 11:24,R_7DsFGlDUe6NyPkt,,,,,39.1397,-86.5141,anonymous,EN,"5,1",,4,3,2,3,4,3,3,3,4,29,46,SCR,46,SCR
4/12/2024 12:03,4/12/2024 12:04,0,129.79.195.65,100,60,1,4/12/2024 12:04,R_1bID13Wt5T3Cn6E,,,,,39.1397,-86.5141,anonymous,EN,5,,3,1,3,4,3,3,2,2,5,32,50,SCR,50,SCR
4/12/2024 12:22,4/12/2024 12:24,0,129.79.195.206,100,106,1,4/12/2024 12:24,R_2wpnpkyIV3uUoGi,,,,,39.1397,-86.5141,anonymous,EN,"3,4,5,1,2",,4,1,2,4,4,2,3,4,3,33,54,SCR,54,SCR
4/12/2024 13:27,4/12/2024 13:28,0,129.79.195.65,100,103,1,4/12/2024 13:29,R_3tG1pyYgbjy0bZf,,,,,39.1397,-86.5141,anonymous,EN,"4,1,2",,4,1,4,5,4,3,2,4,5,38,58,SCR,58,SCR
4/16/2024 10:24,4/16/2024 10:25,0,129.79.195.206,100,66,1,4/16/2024 10:25,R_7MC6NsktJaClwEp,,,,,39.1397,-86.5141,anonymous,EN,"1,2",,5,2,4,5,4,2,3,5,5,39,62,SCR,62,SCR
4/16/2024 10:33,4/16/2024 10:35,0,129.79.195.65,100,90,1,4/16/2024 10:35,R_6PTMAZ9RqlSd94d,,,,,39.1397,-86.5141,anonymous,EN,4,,5,3,1,4,4,2,4,5,5,33,66,SCR,66,SCR
4/16/2024 11:13,4/16/2024 11:15,0,129.79.194.64,100,143,1,4/16/2024 11:15,R_3gUB7S9obZvuA73,,,,,39.1397,-86.5141,anonymous,EN,"3,5,6",Some of the trials were easier because I knew the rocks appearance.  ,5,3,2,5,3,4,4,5,4,31,70,SCR,70,SCR
4/16/2024 12:03,4/16/2024 12:05,0,129.79.195.65,100,146,1,4/16/2024 12:05,R_5irSJG9L5pUoFiK,,,,,39.1397,-86.5141,anonymous,EN,"3,5,6",I play Minecraft so some of these looked very familiar.,3,2,2,4,4,4,4,2,4,27,74,SCR,74,SCR
4/16/2024 13:09,4/16/2024 13:10,0,129.79.194.64,100,67,1,4/16/2024 13:10,R_5aPjBeEPTkDIaFb,,,,,39.1397,-86.5141,anonymous,EN,4,,3,2,1,3,4,3,4,5,4,29,81,SCR,81,SCR
4/16/2024 13:47,4/16/2024 13:48,0,129.79.193.37,100,59,1,4/16/2024 13:48,R_1EZ1Prib5DPHhwB,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,4,1,3,5,5,2,1,5,5,41,85,SCR,85,SCR
4/16/2024 15:34,4/16/2024 15:36,0,129.79.194.64,100,99,1,4/16/2024 15:36,R_7DXPGCC4YtevE6B,,,,,39.1397,-86.5141,anonymous,EN,"4,5",,3,3,1,4,4,2,2,3,4,30,89,SCR,89,SCR
4/17/2024 12:15,4/17/2024 12:16,0,129.79.193.37,100,76,1,4/17/2024 12:16,R_3F2H3aXpKR3xHi6,,,,,39.1397,-86.5141,anonymous,EN,"3,5,1",,3,3,2,2,4,2,5,1,4,24,93,SCR,93,SCR
4/17/2024 12:17,4/17/2024 12:18,0,129.79.192.110,100,63,1,4/17/2024 12:19,R_7nTr13yEC0TBAK5,,,,,39.1397,-86.5141,anonymous,EN,"4,1",,5,1,5,5,2,3,3,4,4,36,97,SCR,97,SCR
4/18/2024 12:22,4/18/2024 12:22,0,129.79.193.34,100,30,1,4/18/2024 12:22,R_28J7ksSFVxjOFFv,,,,,39.1397,-86.5141,anonymous,EN,"3,4,5",,5,3,3,4,3,1,2,2,5,34,101,SCR,101,SCR
4/18/2024 13:24,4/18/2024 13:25,0,129.79.194.64,100,81,1,4/18/2024 13:25,R_5lzStkWjmUo29hT,,,,,39.1397,-86.5141,anonymous,EN,3,,2,4,1,2,2,4,4,2,5,20,109,SCR,109,SCR
4/18/2024 15:05,4/18/2024 15:06,0,129.79.194.64,100,82,1,4/18/2024 15:06,R_1DY2Ajezaj2MVm9,,,,,39.1397,-86.5141,anonymous,EN,"4,1,6",Choose the rocks with target boxes,3,4,3,2,2,4,5,2,2,19,113,SCR,113,SCR
