"width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","trial_type","trial_index","plugin_version","time_elapsed","subjID","condition","stimID","rt","url","success","value","timeout","failed_images","failed_audio","failed_video","view_history","stimulus","response","trialType","cycle","phase","trial","resp","cat","token","corr","resp_num","cat_num","ref_cat_num","paired_cat_num","time_obs","ref_cat","paired_cat","ref_prob_dist","paired_prob_dist"
"1366","633","true","chrome","130.0.0","false","Windows 10","true","60.67","true","true","browser-check","0","2.0.0","1003","6133a95623ae6ddc6ee4d53f","3","15","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","external-html","1","2.0.0","3203879","6133a95623ae6ddc6ee4d53f","3","15","3202794","consent_form.html","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","fullscreen","2","2.0.0","3206721","6133a95623ae6ddc6ee4d53f","3","15","1834","","true","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","call-function","3","2.0.0","3206724","6133a95623ae6ddc6ee4d53f","3","15","","","","{}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","preload","4","2.0.0","3209327","6133a95623ae6ddc6ee4d53f","3","15","","","true","","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","instructions","5","2.0.0","3232364","6133a95623ae6ddc6ee4d53f","3","15","23036","","","","","","","","[{""page_index"":0,""viewing_time"":7295},{""page_index"":1,""viewing_time"":9185},{""page_index"":2,""viewing_time"":6556}]","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","6","2.0.0","3234000","6133a95623ae6ddc6ee4d53f","3","15","1634","","","","","","","","","","0","start_test","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","7","2.0.0","3238872","6133a95623ae6ddc6ee4d53f","3","15","4869","","","","","","","","","<img src= ""rock_img/I_Peridotite_13.jpg"" style=""width:8cm; height:7.58cm;""><p>What type of rock is this?</p>","6","class_response","0","test","1","Peridotite","Peridotite","13","true","7","7","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","8","2.0.0","3239378","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","1","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","9","2.0.0","3247070","6133a95623ae6ddc6ee4d53f","3","15","7691","","","","","","","","","<img src= ""rock_img/I_Diorite_08.jpg"" style=""width:8cm; height:6.37cm;""><p>What type of rock is this?</p>","7","class_response","0","test","2","Pumice","Diorite","08","false","8","3","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","10","2.0.0","3247584","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","2","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","11","2.0.0","3251631","6133a95623ae6ddc6ee4d53f","3","15","4045","","","","","","","","","<img src= ""rock_img/I_Diorite_10.jpg"" style=""width:8cm; height:5.949999999999999cm;""><p>What type of rock is this?</p>","2","class_response","0","test","3","Diorite","Diorite","10","true","3","3","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","12","2.0.0","3252147","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","3","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","13","2.0.0","3256617","6133a95623ae6ddc6ee4d53f","3","15","4468","","","","","","","","","<img src= ""rock_img/I_Andesite_09.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","5","class_response","0","test","4","Pegmatite","Andesite","09","false","6","1","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","14","2.0.0","3257126","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","4","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","15","2.0.0","3259092","6133a95623ae6ddc6ee4d53f","3","15","1964","","","","","","","","","<img src= ""rock_img/I_Pumice_13.jpg"" style=""width:8cm; height:8.200000000000001cm;""><p>What type of rock is this?</p>","1","class_response","0","test","5","Basalt","Pumice","13","false","2","8","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","16","2.0.0","3259607","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","5","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","17","2.0.0","3263280","6133a95623ae6ddc6ee4d53f","3","15","3671","","","","","","","","","<img src= ""rock_img/I_Diorite_12.jpg"" style=""width:8cm; height:4.88cm;""><p>What type of rock is this?</p>","3","class_response","0","test","6","Gabbro","Diorite","12","false","4","3","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","18","2.0.0","3263786","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","6","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","19","2.0.0","3265544","6133a95623ae6ddc6ee4d53f","3","15","1756","","","","","","","","","<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>","4","class_response","0","test","7","Obsidian","Basalt","05","false","5","2","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","20","2.0.0","3266051","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","7","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","21","2.0.0","3271064","6133a95623ae6ddc6ee4d53f","3","15","5012","","","","","","","","","<img src= ""rock_img/I_Pegmatite_06.jpg"" style=""width:8cm; height:5.17cm;""><p>What type of rock is this?</p>","3","class_response","0","test","8","Gabbro","Pegmatite","06","false","4","6","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","22","2.0.0","3271577","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","8","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","23","2.0.0","3273701","6133a95623ae6ddc6ee4d53f","3","15","2123","","","","","","","","","<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>","4","class_response","0","test","9","Obsidian","Obsidian","14","true","5","5","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","24","2.0.0","3274210","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","9","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","25","2.0.0","3277256","6133a95623ae6ddc6ee4d53f","3","15","3044","","","","","","","","","<img src= ""rock_img/I_Pegmatite_09.jpg"" style=""width:8cm; height:4.03cm;""><p>What type of rock is this?</p>","1","class_response","0","test","10","Basalt","Pegmatite","09","false","2","6","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","26","2.0.0","3277772","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","10","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","27","2.0.0","3279406","6133a95623ae6ddc6ee4d53f","3","15","1632","","","","","","","","","<img src= ""rock_img/I_Gabbro_12.jpg"" style=""width:8cm; height:7.800000000000001cm;""><p>What type of rock is this?</p>","4","class_response","0","test","11","Obsidian","Gabbro","12","false","5","4","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","28","2.0.0","3279919","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","11","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","29","2.0.0","3281459","6133a95623ae6ddc6ee4d53f","3","15","1538","","","","","","","","","<img src= ""rock_img/I_Peridotite_16.jpg"" style=""width:8cm; height:6.989999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","12","Obsidian","Peridotite","16","false","5","7","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","30","2.0.0","3281968","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","12","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","31","2.0.0","3283574","6133a95623ae6ddc6ee4d53f","3","15","1605","","","","","","","","","<img src= ""rock_img/I_Pumice_15.jpg"" style=""width:8cm; height:7.86cm;""><p>What type of rock is this?</p>","1","class_response","0","test","13","Basalt","Pumice","15","false","2","8","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","32","2.0.0","3284083","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","13","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","33","2.0.0","3286944","6133a95623ae6ddc6ee4d53f","3","15","2860","","","","","","","","","<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>","0","class_response","0","test","14","Andesite","Pumice","02","false","1","8","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","34","2.0.0","3287446","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","14","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","35","2.0.0","3290421","6133a95623ae6ddc6ee4d53f","3","15","2973","","","","","","","","","<img src= ""rock_img/I_Diorite_15.jpg"" style=""width:8cm; height:5.54cm;""><p>What type of rock is this?</p>","7","class_response","0","test","15","Pumice","Diorite","15","false","8","3","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","36","2.0.0","3290928","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","15","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","37","2.0.0","3292621","6133a95623ae6ddc6ee4d53f","3","15","1691","","","","","","","","","<img src= ""rock_img/I_Gabbro_09.jpg"" style=""width:8cm; height:7.279999999999999cm;""><p>What type of rock is this?</p>","4","class_response","0","test","16","Obsidian","Gabbro","09","false","5","4","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","38","2.0.0","3293124","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","16","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","39","2.0.0","3294708","6133a95623ae6ddc6ee4d53f","3","15","1583","","","","","","","","","<img src= ""rock_img/I_Obsidian_16.jpg"" style=""width:8cm; height:9.3cm;""><p>What type of rock is this?</p>","4","class_response","0","test","17","Obsidian","Obsidian","16","true","5","5","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","40","2.0.0","3295223","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","17","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","41","2.0.0","3297049","6133a95623ae6ddc6ee4d53f","3","15","1825","","","","","","","","","<img src= ""rock_img/I_Andesite_11.jpg"" style=""width:8cm; height:4.92cm;""><p>What type of rock is this?</p>","2","class_response","0","test","18","Diorite","Andesite","11","false","3","1","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","42","2.0.0","3297555","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","18","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","43","2.0.0","3299088","6133a95623ae6ddc6ee4d53f","3","15","1531","","","","","","","","","<img src= ""rock_img/I_Andesite_10.jpg"" style=""width:8cm; height:4.16cm;""><p>What type of rock is this?</p>","2","class_response","0","test","19","Diorite","Andesite","10","false","3","1","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","44","2.0.0","3299600","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","19","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","45","2.0.0","3301006","6133a95623ae6ddc6ee4d53f","3","15","1405","","","","","","","","","<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>","4","class_response","0","test","20","Obsidian","Obsidian","11","true","5","5","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","46","2.0.0","3301513","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","20","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","47","2.0.0","3302939","6133a95623ae6ddc6ee4d53f","3","15","1423","","","","","","","","","<img src= ""rock_img/I_Basalt_04.jpg"" style=""width:8cm; height:7.53cm;""><p>What type of rock is this?</p>","4","class_response","0","test","21","Obsidian","Basalt","04","false","5","2","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","48","2.0.0","3303447","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","21","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","49","2.0.0","3305471","6133a95623ae6ddc6ee4d53f","3","15","2022","","","","","","","","","<img src= ""rock_img/I_Peridotite_12.jpg"" style=""width:8cm; height:4.54cm;""><p>What type of rock is this?</p>","5","class_response","0","test","22","Pegmatite","Peridotite","12","false","6","7","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","50","2.0.0","3305982","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","22","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","51","2.0.0","3307396","6133a95623ae6ddc6ee4d53f","3","15","1413","","","","","","","","","<img src= ""rock_img/I_Pegmatite_11.jpg"" style=""width:8cm; height:8.14cm;""><p>What type of rock is this?</p>","5","class_response","0","test","23","Pegmatite","Pegmatite","11","true","6","6","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","52","2.0.0","3307911","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","23","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","53","2.0.0","3311298","6133a95623ae6ddc6ee4d53f","3","15","3385","","","","","","","","","<img src= ""rock_img/I_Peridotite_05.jpg"" style=""width:8cm; height:7.1499999999999995cm;""><p>What type of rock is this?</p>","6","class_response","0","test","24","Peridotite","Peridotite","05","true","7","7","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","54","2.0.0","3311806","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","24","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","55","2.0.0","3316283","6133a95623ae6ddc6ee4d53f","3","15","4476","","","","","","","","","<img src= ""rock_img/I_Pegmatite_12.jpg"" style=""width:8cm; height:5.7cm;""><p>What type of rock is this?</p>","0","class_response","0","test","25","Andesite","Pegmatite","12","false","1","6","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","56","2.0.0","3316789","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","25","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","57","2.0.0","3319388","6133a95623ae6ddc6ee4d53f","3","15","2597","","","","","","","","","<img src= ""rock_img/I_Diorite_11.jpg"" style=""width:8cm; height:7.11cm;""><p>What type of rock is this?</p>","3","class_response","0","test","26","Gabbro","Diorite","11","false","4","3","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","58","2.0.0","3319899","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","26","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","59","2.0.0","3322794","6133a95623ae6ddc6ee4d53f","3","15","2894","","","","","","","","","<img src= ""rock_img/I_Pegmatite_15.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","3","class_response","0","test","27","Gabbro","Pegmatite","15","false","4","6","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","60","2.0.0","3323297","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","27","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","61","2.0.0","3325489","6133a95623ae6ddc6ee4d53f","3","15","2190","","","","","","","","","<img src= ""rock_img/I_Gabbro_05.jpg"" style=""width:8cm; height:6cm;""><p>What type of rock is this?</p>","6","class_response","0","test","28","Peridotite","Gabbro","05","false","7","4","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","62","2.0.0","3325994","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","28","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","63","2.0.0","3327653","6133a95623ae6ddc6ee4d53f","3","15","1658","","","","","","","","","<img src= ""rock_img/I_Gabbro_08.jpg"" style=""width:8cm; height:5.15cm;""><p>What type of rock is this?</p>","5","class_response","0","test","29","Pegmatite","Gabbro","08","false","6","4","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","64","2.0.0","3328158","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","29","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","65","2.0.0","3331589","6133a95623ae6ddc6ee4d53f","3","15","3430","","","","","","","","","<img src= ""rock_img/I_Pumice_09.jpg"" style=""width:8cm; height:6.44cm;""><p>What type of rock is this?</p>","0","class_response","0","test","30","Andesite","Pumice","09","false","1","8","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","66","2.0.0","3332102","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","30","","","","","","","","","","","","",""
"","","","","","","","","","","","html-button-response","67","2.0.0","3333197","6133a95623ae6ddc6ee4d53f","3","15","1093","","","","","","","","","<img src= ""rock_img/I_Obsidian_09.jpg"" style=""width:8cm; height:5cm;""><p>What type of rock is this?</p>","4","class_response","0","test","31","Obsidian","Obsidian","09","true","5","5","","","","","","",""
"","","","","","","","","","","","html-keyboard-response","68","2.0.0","3333702","6133a95623ae6ddc6ee4d53f","3","15","null","","","","","","","","","<p style='font-size: 30px;'><strong>Okay</strong></p>","null","neutral_feedback","0","test","31","","","","","","","","","","","","",""
