participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse_2.x,learn_mouse_2.y,learn_mouse_2.leftButton,learn_mouse_2.midButton,learn_mouse_2.rightButton,learn_mouse_2.time,learn_mouse_2.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order,R_cond_filter.thisRepN,R_cond_filter.thisTrialN,R_cond_filter.thisN,R_cond_filter.thisIndex,R_cond_filter.ran,R_cond_filter.order
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,1,0.050925926,-0.00462963,1,0,0,1.6936,rock_grid_rect_2,4,03,-1,-1,1.694,-0.366666667,-0.230555556,1,0,0,2.1237,Andesite_rect,1,2.124,0,0,0,0,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,2,-0.033333333,0.001851852,1,0,0,1.3886,rock_grid_rect_2,6,06,-1,-1,1.389,-0.112962963,-0.259259259,1,0,0,0.9916,Basalt_rect,2,0.992,0,1,0,1,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,3,0.058333333,-0.009259259,1,0,0,0.7623,rock_grid_rect_2,8,06,-1,-1,0.762,0.115740741,-0.257407407,1,0,0,0.4337,Diorite_rect,3,0.434,0,2,0,2,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,4,0.036111111,-0.00462963,1,0,0,0.45,rock_grid_rect_2,2,04,-1,-1,0.45,0.335185185,-0.237037037,1,0,0,0.3503,Gabbro_rect,4,0.35,0,3,0,3,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,5,0.060185185,-0.010185185,1,0,0,0.5558,rock_grid_rect_2,3,16,-1,-1,0.556,0.118518519,-0.396296296,1,0,0,0.8496,Peridotite_rect,7,0.85,0,4,0,4,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,6,0.046296296,-0.003703704,1,0,0,0.5822,rock_grid_rect_2,5,02,-1,-1,0.582,0.339814815,-0.393518519,1,0,0,0.3389,Pumice_rect,8,0.339,0,5,0,5,0,1,,,,,,,,,,,,,
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,1,1,7,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,08,1,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,05,1,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,10,1,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,10,1,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,12,1,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,02,1,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,05,1,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,07,1,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,06,2,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,03,2,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,14,2,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,15,2,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,11,2,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,16,2,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,09,2,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,05,2,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,15,3,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,12,3,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,01,3,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,03,3,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,10,3,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,14,3,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,7,16,3,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,09,3,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,4,13,4,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,04,4,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,11,4,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,16,4,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,3,06,4,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,06,4,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,14,4,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,05,4,8,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,1,16,5,1,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,16,5,2,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,6,13,5,3,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,09,5,4,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,2,02,5,5,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,8,04,5,6,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
62f70dd38becd2f7f2ce53a8,TCN,2024-06-24_15h56.24.465,LearnStrategy,2023.2.3,Win32,142.8571429,,,,,,,,,,,5,12,5,7,,,,,,,,,,,,6,0,6,0,1,0,0,0,0,1,8,15,0,0,0,0,1,0
