participant,condition,date,expName,psychopyVersion,OS,frameRate,block,phase,trial,learn_mouse.x,learn_mouse.y,learn_mouse.leftButton,learn_mouse.midButton,learn_mouse.rightButton,learn_mouse.time,learn_mouse.clicked_name,cat,token,row,col,t_select,cat_mouse_l.x,cat_mouse_l.y,cat_mouse_l.leftButton,cat_mouse_l.midButton,cat_mouse_l.rightButton,cat_mouse_l.time,cat_mouse_l.clicked_name,resp,t_resp,corr,train_trials.thisRepN,train_trials.thisTrialN,train_trials.thisN,train_trials.thisIndex,train_trials.ran,cat_mouse_t.x,cat_mouse_t.y,cat_mouse_t.leftButton,cat_mouse_t.midButton,cat_mouse_t.rightButton,cat_mouse_t.time,cat_mouse_t.clicked_name,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,Bonus,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,blocks.order,train_trials.order
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,1,-0.568518497,0.435185185,1,0,0,9.4283,Obsidian_12,5,12,6,1,9.428,-0.365740741,-0.391666695,1,0,0,7.3089,Obsidian_rect,5,7.309,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,2,-0.377777771,0.275925919,1,0,0,4.695,Basalt_06,2,06,5,2,4.695,-0.145370342,-0.253703718,1,0,0,8.0469,Basalt_rect,2,8.047,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,3,0.079629616,0.410185187,1,0,0,4.3613,Obsidian_02,5,02,6,5,4.361,-0.331481474,-0.37962963,1,0,0,2.7149,Obsidian_rect,5,2.715,1,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,4,-0.372222229,0.087962963,1,0,0,44.1173,Pegmatite_09,6,09,4,2,44.117,-0.111111111,-0.418518561,1,0,0,8.274,Pegmatite_rect,6,8.274,1,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,5,-0.237037023,0.274999989,1,0,0,9.324,Peridotite_04,7,04,5,3,9.324,-0.137962977,-0.252777806,1,0,0,2.8666,Basalt_rect,2,2.867,0,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,6,-0.069444444,0.248148141,1,0,0,2.9953,Pumice_02,8,02,5,4,2.995,0.126851894,-0.418518561,1,0,0,2.0578,Peridotite_rect,7,2.058,0,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,7,-0.087037051,-0.14907406,1,0,0,2.1135,Pumice_09,8,09,3,4,2.113,0.393518519,-0.396296325,1,0,0,1.3754,Pumice_rect,8,1.375,1,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,8,0.087962963,0.109259252,1,0,0,2.1077,Diorite_02,3,02,4,5,2.108,-0.118518476,-0.264814801,1,0,0,3.8566,Basalt_rect,2,3.857,0,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,9,0.203703704,0.392592589,1,0,0,2.8795,Gabbro_05,4,05,6,6,2.88,-0.377777771,-0.244444459,1,0,0,12.3824,Andesite_rect,1,12.382,0,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,10,0.391666695,-0.107407393,1,0,0,2.6796,Pegmatite_07,6,07,3,7,2.68,-0.102777764,-0.405555584,1,0,0,8.0853,Pegmatite_rect,6,8.085,1,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,11,0.074074074,-0.066666674,1,0,0,1.7308,Pegmatite_16,6,16,3,5,1.731,0.098148134,-0.405555584,1,0,0,2.6107,Peridotite_rect,7,2.611,0,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,12,-0.101851852,-0.256481524,1,0,0,1.963,Obsidian_07,5,07,2,4,1.963,-0.375,-0.40370369,1,0,0,4.3567,Obsidian_rect,5,4.357,1,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,13,-0.074074074,-0.415740755,1,0,0,1.8641,Gabbro_03,4,03,1,4,1.864,0.384259259,-0.380555541,1,0,0,4.4635,Pumice_rect,8,4.464,0,12,0,12,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,14,0.419444473,-0.260185171,1,0,0,7.745,Pumice_10,8,10,2,7,7.745,-0.118518476,-0.232407393,1,0,0,1.5284,Basalt_rect,2,1.528,0,13,0,13,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,15,0.554629714,-0.127777806,1,0,0,3.0894,Pumice_14,8,14,3,8,3.089,0.387963048,-0.231481481,1,0,0,2.5409,Gabbro_rect,4,2.541,0,14,0,14,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,1,16,-0.380555541,-0.420370384,1,0,0,3.0067,Pegmatite_08,6,08,1,2,3.007,-0.364814794,-0.410185213,1,0,0,3.8406,Obsidian_rect,5,3.841,0,15,0,15,0,1,,,,,,,,,,,,,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,1,,,,,,,,8,16,,,,,,,,,,,6,7.504,0,,,,,,-0.107407393,-0.402777778,1,0,0,7.5035,Pegmatite_rect,0,0,0,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,2,,,,,,,,3,13,,,,,,,,,,,6,4.16,0,,,,,,-0.151851866,-0.411111125,1,0,0,4.1604,Pegmatite_rect,1,0,1,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,3,,,,,,,,8,04,,,,,,,,,,,8,3.707,1,,,,,,0.33148151,-0.405555584,1,0,0,3.707,Pumice_rect,2,0,2,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,4,,,,,,,,3,16,,,,,,,,,,,2,17.045,0,,,,,,-0.106481481,-0.23055557,1,0,0,17.0452,Basalt_rect,3,0,3,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,5,,,,,,,,1,01,,,,,,,,,,,4,3.408,0,,,,,,0.337962963,-0.241666653,1,0,0,3.4076,Gabbro_rect,4,0,4,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,6,,,,,,,,2,10,,,,,,,,,,,2,12.116,1,,,,,,-0.054629644,-0.239814829,1,0,0,12.1165,Basalt_rect,5,0,5,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,7,,,,,,,,6,12,,,,,,,,,,,6,2.508,1,,,,,,-0.139814801,-0.385185171,1,0,0,2.5076,Pegmatite_rect,6,0,6,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,8,,,,,,,,4,10,,,,,,,,,,,8,2.991,0,,,,,,0.350926011,-0.39444443,1,0,0,2.9913,Pumice_rect,7,0,7,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,9,,,,,,,,5,06,,,,,,,,,,,5,1.942,1,,,,,,-0.326851845,-0.396296325,1,0,0,1.9417,Obsidian_rect,8,0,8,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,10,,,,,,,,2,05,,,,,,,,,,,2,2.108,1,,,,,,-0.090740698,-0.259259259,1,0,0,2.1083,Basalt_rect,9,0,9,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,11,,,,,,,,1,09,,,,,,,,,,,2,1.259,0,,,,,,-0.090740698,-0.259259259,1,0,0,1.259,Basalt_rect,10,0,10,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,12,,,,,,,,7,13,,,,,,,,,,,6,2.708,0,,,,,,-0.079629616,-0.397222236,1,0,0,2.7077,Pegmatite_rect,11,0,11,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,13,,,,,,,,5,16,,,,,,,,,,,5,13.333,1,,,,,,-0.354629623,-0.414814843,1,0,0,13.3329,Obsidian_rect,12,0,12,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,14,,,,,,,,4,14,,,,,,,,,,,2,7.554,0,,,,,,-0.056481467,-0.241666653,1,0,0,7.5541,Basalt_rect,13,0,13,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,15,,,,,,,,6,11,,,,,,,,,,,6,42.873,1,,,,,,-0.069444444,-0.406481496,1,0,0,42.8734,Pegmatite_rect,14,0,14,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,1,2,16,,,,,,,,7,05,,,,,,,,,,,2,1.975,0,,,,,,-0.16851849,-0.244444459,1,0,0,1.9748,Basalt_rect,15,0,15,0,1,,,,,,,,
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,2,1,1,-0.551851838,0.406481478,1,0,0,3.3293,Obsidian_12,5,12,6,1,3.329,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,1,10,1,1,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,6,08,1,2,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,3,12,1,3,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,4,03,1,4,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,1,06,1,5,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,2,02,1,6,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,2,14,1,7,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,7,15,1,8,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,5,10,2,1,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,2,01,2,2,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,1,04,2,3,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,5,07,2,4,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,3,14,2,5,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,2,11,2,6,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,8,10,2,7,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,4,11,2,8,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,6,05,3,1,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,7,10,3,2,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,4,08,3,3,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,8,09,3,4,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
63d6f2705562fd353b7948dc,SCN,2024-06-11_13h13.08.844,LearnStrategy,2023.2.3,Win32,59.52380952,,,,,,,,,,,6,16,3,5,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,1,0,1,0,1,8,15
